mix,Metabolite Name,MW,Estimated RT,TMS,MeOx,InChIKey
1,alanine,89.04767847,8.17,2,,QNAYBMKLOCPYGJ-UHFFFAOYSA-N
1,isoleucine,131.0946287,10.565,2,,AGPKZVBTJJNPAG-WHFBIAKZSA-N
1,glycine,75.0320284,10.807,3,,DHMQDGOQFOQNFH-UHFFFAOYSA-N
1,aspartic acid,133.0375077,13.55,3,,CKLJMWTZIZZHCS-REOHCLBHSA-N
1,cysteine,121.0197496,13.948,3,,XUJNEKJLAYXESH-REOHCLBHSA-N
1,glutamic acid,147.0531578,14.714,3,,WHUUTDBJXJRKMK-VKHMYHEASA-N
1,asparagine,132.0534921,,3,,DCXYFEDJOCDNAF-REOHCLBHSA-N
1,glutamine,146.0691422,,3,,ZDXPYRJPNDTMRX-VKHMYHEASA-N
1,histidine,155.0694765,,3,,HNDVDQJCIGZPNO-YFKPBYRVSA-N
2,leucine,131.0946287,10.318,2,,ROHFNLRQFUQHCH-YFKPBYRVSA-N
2,proline,115.0633285,10.696,2,,ONIBWKKTOPOVIA-BYPYZUCNSA-N
2,serine,105.0425931,11.472,3,,MTCFGRXMJLQNBG-REOHCLBHSA-N
2,threonine,119.0582431,11.804,3,,AYFVYJQAPQTCCC-GBXIJSLDSA-N
2,methionine,149.0510498,13.512,2,,FFEARJCKVFRZRR-BYPYZUCNSA-N
2,phenylalanine,165.0789786,14.825,2,,COLNVLDHVKWLRT-QMMMGPOBSA-N
2,lysine,146.1055277,17.34,3,,KDXKERNSBIXSRK-YFKPBYRVSA-N
2,tyrosine,181.0738932,,3,,OUYCCCASQSFEME-QMMMGPOBSA-N
2,tryptophan,204.0898776,,3,,QIVBCDIJIAJPQS-VIFPVBQESA-N
3,pyruvate,88.01604399,7.517,1,1,LCTONWCANYUPML-UHFFFAOYSA-M
3,valine,117.0789786,9.59,2,,KZSNJWFQEVHDMF-BYPYZUCNSA-N
3,succinate,118.0266087,10.897,2,,KDYFGRWQOYBRFD-UHFFFAOYSA-L
3,fumarate,116.0109586,11.368,2,,VZCYOOQTPOCHFL-OWOJBTEDSA-L
3,malate,134.0215233,13.112,3,,BJEPYKJPYRNKOW-UHFFFAOYSA-L
3,oxaloacetate,132.0058732,,2,1,KHPXUQMNIQBQEV-UHFFFAOYSA-N
3,alpha-ketoglutarate,146.0215233,14.184,2,1,KPGXRSRHYNQIFN-UHFFFAOYSA-L
3,citrate,192.0270026,16.927,4,,KRKNYBCHXYNGOX-UHFFFAOYSA-K
3,isocitrate,192.0270026,,4,,ODBLHEXUDAPZAU-UHFFFAOYSA-N
4,glyceraldehyde 3-phosphate,169.9980249,,3,1,LXJXRIRHZLFYRP-UHFFFAOYSA-N
4,erythrose 4-phosphate,200.0085896,17.896,4,1,NGHMDNPXVRFFGS-IUYQGCFVSA-N
4,xylulose 5-phosphate,228.0035042,,5,1,FNZLKVNUWIIPSJ-RFZPGFLSSA-L
4,ribose 5-phosphate,230.0191543,,5,1,PPQRONHOSHZGFQ-LMVFSUKVSA-N
4,ribulose 5-phosphate,230.0191543,,5,1,FNZLKVNUWIIPSJ-UHNVWZDZSA-N
4,fructose 6-phosphate,260.029719,,6,1,GSXOAOHZAIYLCY-HSUXUTPPSA-N
4,glucose 6-phosphate,260.029719,,6,1,NBSCHQHZLSJFNQ-GASJEMHNSA-N
4,sedoheptulose 7-phosphate,290.0402837,,7,1,JDTUMPKOJBQPKX-GBNDHIKLSA-N
