mix,Metabolite Name,MW,Estimated RT,TMS,MeOx,InChIKey
1,trans-3-hydroxy-L-proline,131.0582431,12.89,3,,BJBUEDPLEOHJGE-IMJSIDKUSA-N
1,dihydroxyacetone phosphate,169.9980249,,3,,GNGACRATGGDKBX-UHFFFAOYSA-N
1,allo-inositol,180.0633881,17.554,6,,CDAISMWEOUEBRE-UHFFFAOYSA-N
1,9-phenanthrenol,194.0731649,,1,,DZKIUEHLEXLYKM-UHFFFAOYSA-N
1,dioctyl phthalate,390.2770097,23.525,0,,MQIUGAXCHLFZKX-UHFFFAOYSA-N
1,L-dithiothreitol,154.0122219,,4,,VHJLVAABSRFDPM-IMJSIDKUSA-N
1,N-cyclohexylformamide,127.099714,,1,,SWGXDLRCJNEEGZ-UHFFFAOYSA-N
1,phosphate,94.95342047,10.326,3,,NBIIXXVUZAFLBC-UHFFFAOYSA-K
2,L-alanine-D4,93.07278545,,2,,QNAYBMKLOCPYGJ-IALWIIEESA-N
2,DL-3-aminoisobutyric acid,103.0633285,12.893,3,,QCHPKSFMDHPSNR-UHFFFAOYSA-N
2,phenylphosphoric acid,174.0081957,14.432,2,,CMPQUABWPXYYSH-UHFFFAOYSA-N
2,N-acetyl-L-glutamic acid,189.0637225,16.585,2,,RFMMMVDNIPUKGG-YFKPBYRVSA-N
2,methyl-β-D-galactopyranoside,194.0790382,,4,,HOVAGTYPODGVJG-TVPFVARWSA-N
2,lipoamide,205.0595065,20.363,1,,FCCDDURTIIUXBY-UHFFFAOYSA-N
2,alizarin,240.0422587,23.819,2,,RGCKGOZRHPZPFP-UHFFFAOYSA-N
2,oxytetracycline,460.1481804,,7,,OWFJMIVZYSDULZ-PXOLEDIWSA-N
2,3-aminopropionitrile,70.0530982,,2,,AGSPXMVUFBBBMO-UHFFFAOYSA-N
3,acetoacetate,101.023869,,2,,WDJHALXBUFZDSR-UHFFFAOYSA-M
3,2-phenylacetamide,135.0684139,12.865,1,,LSBDFXRDZJMBSC-UHFFFAOYSA-N
3,3-(4-hydroxyphenyl)propionic acid,166.0629942,16.384,2,,NMHMNPHRMNGLLB-UHFFFAOYSA-N
3,DL-4-hydroxy-3-methoxymandelic acid,198.0528234,17.542,3,,CGQCWMIAEPEHNQ-UHFFFAOYSA-N
3,"5α-androstane-3β,17β-diol",292.46,,2,,
3,p-toluenesulfonic acid,172.0194153,,1,,JOXIMZWYDAKGHI-UHFFFAOYSA-N
4,4-hydroxy-3-methoxybenzoic acid,168.0422587,16.412,2,,WKOLLVMJNQIZCI-UHFFFAOYSA-N
