mix,Metabolite Name,MW,Estimated RT,TMS,MeOx,InChIKey
1,betaine,117.0789786,7.456,1,,KWIUHFFTVRNATP-UHFFFAOYSA-N
1,pyruvic acid,88.01604399,,2,,LCTONWCANYUPML-UHFFFAOYSA-N
1,citrulline,175.0956913,,4,,RHGKLRLOHDJJDR-BYPYZUCNSA-N
1,hippuric acid,179.0582431,17.282,1,,QIAFMBKCNZACKA-UHFFFAOYSA-N
1,gluconolactone,218.040247,,5,,RGHNJXZEOKUKBD-SQOUGZDYSA-N
1,gluconic acid,218.040247,,5,,RGHNJXZEOKUKBD-SQOUGZDYSA-N
1,cystathionine,222.0674281,20.752,4,,ILRYLPWNYFXEMH-WHFBIAKZSA-N
2,ethanolamine,61.05276385,10.175,3,,HZAXFHJVJLSVMW-UHFFFAOYSA-N
2,hexanoic acid,116.0837296,7.757,1,,FUZZWVXGSFPDMH-UHFFFAOYSA-N
2,salicylaldehyde,122.0367794,12.397,1,1,SMQUZDBALVYZAC-UHFFFAOYSA-N
2,cadaverine,102.1156985,17.204,4,,VHRGRCVQAFMJIZ-UHFFFAOYSA-N
2,pyridoxal,167.0582431,17.549,2,1,RADKZDMFGJYCBB-UHFFFAOYSA-N
2,uridine,244.0695361,22.813,4,,DRTQHJPVMGBUCF-XVFCMESISA-N
2,adenosine diphosphate,427.0294157,,6,,XTWYTFMLZFPYCI-KQYNXXCUSA-N
3,guanidinobutyric acid,145.0851266,,5,,TUHVEAJXIMEOSA-UHFFFAOYSA-N
3,glutaric acid,132.0422587,12.127,2,,JFCQEDHGNNZCLN-UHFFFAOYSA-N
3,gamma-aminobutyric acid,103.0633285,13.712,3,,BTCSSZJGUNDROE-UHFFFAOYSA-N
3,d-(+)-galacturonic acid,194.0426527,17.716,5,,IAJILQKETJEXLJ-RSJOWCBRSA-N
3,d-(+)-galacturonic acid,194.0426527,17.776,5,,IAJILQKETJEXLJ-RSJOWCBRSA-N
3,palmitoleic acid,254.2245802,19.096,1,,SECPZKHBENQXJG-FPLPWBNLSA-N
3,guanine,151.0494098,20.011,3,,UYTPUPDQBNUYGX-UHFFFAOYSA-N
3,linoleic acid,280.2402303,20.874,1,,OYHQOLUKZRVURQ-HZJYTTRNSA-N
3,cholesteryl oleate,650.6001817,,,,RJECHNNFRHZQKU-RMUVNZEASA-N
4,acetyl leucine,173.1051933,12.339,2,,WXNXCEHXYPACJF-ZETCQYMHSA-N
4,hypotaurine,109.0197496,14.518,2,,VVIUBCNYACGLLV-UHFFFAOYSA-N
4,L-cystine,240.0238492,,4,,LEVWYRKDKASIDU-IMJSIDKUSA-N
4,sucrose,342.1162115,24.24,8,,CZMRCDWAGMRECN-UGDNZRGBSA-N
5,glyceric acid,106.0266087,11.108,3,,RBNPOMFGQQGHHO-UWTATZPHSA-N
5,thymine,126.0429274,12.037,2,,RWQNBRDOKXIBIV-UHFFFAOYSA-N
5,taurine,125.0146643,,3,,XOAAWQZATWQOTB-UHFFFAOYSA-N
5,alpha-aminoadipic acid,161.0688078,15.805,3,,OYIFNHCXNCRBQI-UHFFFAOYSA-N
5,kynurenic acid 1,189.0425931,19.497,2,,HCZHHEIFKROPDY-UHFFFAOYSA-N
5,kynurenic acid 2,189.0425931,19.596,2,,HCZHHEIFKROPDY-UHFFFAOYSA-N
5,"d-fructose 1,6-bisphosphate",339.9960499,,7,,RNBGYGVWRKECFJ-VRPWFDPXSA-N
5,phosphocholine,184.07387,,2,,YHHSONZFOIEMCP-UHFFFAOYSA-N
6,guanosine 5'-monophosphate,363.0579994,,6,,RQFCJASXJCIDSX-UUOKFMHZSA-N
6,uridine 5'-monophosphate,324.035867,,5,,DJJCXFVJDGTHFX-XVFCMESISA-N
6,4-aminobutyric acid,103.0633285,8.978,2,,BTCSSZJGUNDROE-UHFFFAOYSA-N
6,4-aminobutyric acid,103.0633285,9.064,2,,BTCSSZJGUNDROE-UHFFFAOYSA-N
6,ribitol,152.0684735,15.885,5,,HEBKCHPVOIAQTA-NGQZWQHPSA-N
