mix,Metabolite Name,MW,Estimated RT,TMS,MeOx,InChIKey
1,N-ethylglycine,103.0633285,6.458,2,,YPIGGYHFMKJNKV-UHFFFAOYSA-N
1,p-cresol,108.0575149,8.211,1,,IWDCLRJOBJJRNH-UHFFFAOYSA-N
1,"2-butyne-1,4-diol",86.03677943,9.446,2,,DLDJFQGPPSQZKI-UHFFFAOYSA-N
1,catechol,110.0367794,10.524,2,,YCIMNLLNPGFGHC-UHFFFAOYSA-N
1,hydroquinone,110.0367794,11.659,2,,QIGBRXMKCJKVMJ-UHFFFAOYSA-N
1,2-hydroxyquinoline,145.0527638,12.903,1,,LISFMEBWQUVKPJ-UHFFFAOYSA-N
1,dibenzofuran,168.0575149,13.402,0,,TXCDCPKCNAJMEE-UHFFFAOYSA-N
1,pimelic acid,160.0735589,14.19,2,,WLJVNTCWHIRURA-UHFFFAOYSA-N
1,phthalic acid,166.0266087,15.218,2,,XNGIFLGASWRNHJ-UHFFFAOYSA-N
1,putrescine,88.10004839,15.709,4,,KIDHWZJUCRJVML-UHFFFAOYSA-N
1,N-acetyl-L-phenylalanine,207.0895433,16.284,2,,CBQJSKKFNMDLON-JTQLQIEISA-N
1,4-hydroxyphenylpyruvic acid,180.0422587,16.939,3,1,KKADPXVIOXHVKN-UHFFFAOYSA-N
1,D-(+)-galactose,180.0633881,17.409,6,1,WQZGKKKJIJFFOK-SVZMEOIVSA-N
1,4-hydroxy-3-methoxycinnamaldehyde,178.0629942,17.879,2,1,DKZBBWMURDFHNE-NSCUHMNNSA-N
1,palmitoleic acid,254.2245802,18.728,1,,SECPZKHBENQXJG-FPLPWBNLSA-N
1,1-methyl-L-tryptophan,218.1055277,19.523,2,,ZADWXFSZEAPBJS-JTQLQIEISA-N
1,methyl yellow,225.1265975,20.692,0,,JCYPECIVGRXBMO-UHFFFAOYSA-N
1,glycyl-L-tyrosine,238.0953569,23.118,4,,XBGGUPMXALFZOT-VIFPVBQESA-N
1,N-methyladenosine,281.112404,24.704,4,,VQAYFKKCNSOZKM-INWNYVOZSA-N
1,myricetin,318.0375673,27.941,7,1,IKMDFBPHZNJCSN-UHFFFAOYSA-N
2,2-hydroxypyridine,95.03711378,6.519,1,,UBQKCCHYAOITMY-UHFFFAOYSA-N
2,N-methyl-L-alanine,103.0633285,8.43,2,,GDFAOVXKHJXLEI-VKHMYHEASA-N
2,benzoic acid,122.0367794,9.594,1,,WPYMKLBDIGXBTP-UHFFFAOYSA-N
2,4-acetylbutyric acid,130.0629942,10.63,2,1,MGTZCLMLSSAXLD-UHFFFAOYSA-N
2,(-)-perillyl alcohol,152.1201151,11.693,1,,NDTYTMIUWGWIMO-SNVBAGLBSA-N
2,D-threitol,122.0579088,12.954,4,,UNXHWFMMPAWVPI-QWWZWVQMSA-N
2,pyrogallol,126.031694,13.456,3,,WQGWDDDVZFFDIG-UHFFFAOYSA-N
2,2-hydroxybiphenyl,170.0731649,14.193,1,,LLEMOWNGBBNAJR-UHFFFAOYSA-N
