mix,Metabolite Name,MW,Estimated RT,TMS,MeOx,InChIKey
1,"butane-2,3-diol",90.06807956,6.23,2,,OWBTYPJTUOEWEK-QWWZWVQMSA-N
1,norvaline,117.0789786,8.58,2,,SNDPXSYFESPGGJ-BYPYZUCNSA-N
1,parabanic acid,114.0065419,11.24,,,ZFLIKDUSUDBGCD-UHFFFAOYSA-N
1,UDP-glucuronic acid,580.0342859,13.56,9,,XXXUNWUNTOMVIG-QWGSIYABSA-K
1,UDP-N-acetylglucosamine,607.0815704,14.26,9,,HXWKMJZFIJNGES-YZVFIFBQSA-L
1,glucosamine 1,179.0793725,15,4,,MSWZFWKMSRAUBD-QZABAPFNSA-N
1,glucosamine 2,179.0793725,15,4,,MSWZFWKMSRAUBD-QZABAPFNSA-N
1,indole-3-propionic acid,189.0789786,16.26,2,,GOLXRNDWAUTYKT-UHFFFAOYSA-N
1,mannose-6-phosphate,260.029719,17.93,6,1,LFQSCWFLJHTTHZ-UHFFFAOYSA-N
1,behenic acid,340.3341306,19.72,1,,UKMSUNONTOPOIO-UHFFFAOYSA-N
2,"propane-1,3-diol",76.05242949,6.39,2,,YPFDHNVEDLHUCE-UHFFFAOYSA-N
2,butyraldehyde,72.05751487,9.18,0,1,ZTQSAGDEMFDKMZ-UHFFFAOYSA-N
2,nicotinamide,122.0480128,11.33,1,,DFPAKSUCGFBDDF-UHFFFAOYSA-N
2,triethanolamine,149.1051933,12.51,3,,GSEJCLTVZPLZKY-UHFFFAOYSA-N
2,diglycerol,166.0841235,13.62,4,,GPLRAVKSCUXZTP-UHFFFAOYSA-N
2,"2,8-dihydroxyquinoline",161.0476785,14.3,2,,ZXZKYYHTWHJHFT-UHFFFAOYSA-N
2,galactitol,182.0790382,15.09,6,,FBPFZTCFMRRESA-GUCUJZIJSA-N
2,L-DOPA,197.0688078,16.27,4,,WTDRDQBEARUVNC-LURJTMIESA-N
2,monomyristin,302.2457096,18.22,2,,DCBSHORRWZKAKO-UHFFFAOYSA-N
2,lactose 1,342.1162115,19.99,8,1,WSVLPVUVIUVCRA-KPKNDVKVSA-N
2,lactose 2,342.1162115,19.99,8,1,WSVLPVUVIUVCRA-KPKNDVKVSA-N
3,acetophenone,120.0575149,6.87,0,1,KWOLFJPFCHCOCG-UHFFFAOYSA-N
3,o-toluic acid,136.0524295,9.65,1,,ZWLPBLYKEWSWPD-UHFFFAOYSA-N
3,"5,6-dihydrouracil",114.0429274,11.33,2,,OIVLITBTBDPEFK-UHFFFAOYSA-N
3,tranexamic acid,157.1102787,13.15,2,,IIDJRNMFWXDHID-UHFFFAOYSA-N
3,glucose-1-phosphate,260.029719,13.74,6,,INXMOHFFQYLBED-CXWKFSMRSA-L
3,psicose,180.0633881,14.45,5,,LKDRXBCSQODPBY-JDJSBBGDSA-N
3,"3,4-dihydroxyhydrocinnamic acid",182.0579088,15.16,3,,DZAUWHJDUNRCTF-UHFFFAOYSA-N
3,heptadecenoic acid,268.2402303,16.53,1,,GDTXICBNEOEPAZ-FPLPWBNLSA-N
