mix,Metabolite Name,MW,Estimated RT,TMS,MeOx,InChIKey
1,propyleneglycol,76.0524297,6.871,2,,DNIAPMSPPWPWGF-UHFFFAOYSA-N
1,2-ketoisovaleric acid,116.0473441,8.586,1,1,QHKABHOOEWYVLI-UHFFFAOYSA-M
1,2-hydroxyhexanoic acid,132.0786442,10.433,2,,NYHNVHGFPZAZGA-UHFFFAOYSA-N
1,citramalic acid,148.0371734,12.994,3,,XFTRTWQBIOMVPK-UHFFFAOYSA-N
1,tartaric acid,150.0164379,14.944,4,,FEWJPZIEWOKRBE-LWMBPPNESA-N
1,"2,4,6-tribromophenol",329.77135,16.576,1,,BSWWXRFVMJHFBN-UHFFFAOYSA-N
1,myristic-d27 acid,255.3784023,17.09,1,,
1,N-acetylornithine,174.1004423,18.799,3,,JRLGPAXAGHMNOL-LURJTMIESA-N
1,spermine,202.2157469,24.927,6,,PFNFFQXMRSDOHW-UHFFFAOYSA-N
1,dehydrocholesterol,384.339216,27.731,1,,UCTLRSWJYQTBFZ-DDPQNLDTSA-N
1,sinigrin,359.0266484,,,,
2,epsilon-caprolactam,113.084064,,1,,JBKVHLHDHHXQEQ-UHFFFAOYSA-N
2,3-hydroxypropionic acid,90.03169405,8.548,2,,ALRHLSYJTWAHJZ-UHFFFAOYSA-N
2,pyrophosphate 4 TMS,177.943226,15.258,4,,XPPKVPWEQAFLFU-UHFFFAOYSA-J
2,dihydroxymalonic acid,136.0007878,12.711,4,,VUCKYGJSXHHQOJ-UHFFFAOYSA-N
2,"1,2-cyclohexanedione",112.0524295,,,,OILAIQUEIWYQPH-UHFFFAOYSA-N
2,N-carbamoylaspartate 4 TMS,176.0433214,18.29,4,,HLKXYZVTANABHZ-UHFFFAOYSA-N
2,saccharic acid,210.0375673,18.89,6,,UBYZGUWQNIEQMH-UHFFFAOYSA-N
2,beta-gentiobiose 1,342.1162115,,8,,DLRVVLDZNNYCBX-LIZSDCNHSA-N
2,inosine 5'-monophosphate,348.0471004,26.771,5,,AANLCWYVVNBGEE-IDIVVRGQSA-L
2,beta-sitosterol,414.3861662,,,,KZJWDPNRJALLNS-VJSFXXLFSA-N
3,diacetone alcohol,116.0837296,,1,,SWXVUIWOUIDPGS-UHFFFAOYSA-N
3,3-hydroxypyridine,95.03711378,8.434,1,,GRFNBEZIAWKNCO-UHFFFAOYSA-N
3,phosphate,97.9952,10.351,3,,AJPJDKMHJJGVTQ-UHFFFAOYSA-M
3,capric acid,172.1463299,12.823,1,,GHVNFZFCNZKVNT-UHFFFAOYSA-N
