,cilist,M,mtype,mix,RT,Name,estimate RT,TMP
0,[0. 0. 0. 1.],233,M+H,1,6.3498,alanine,8.17,2
1,[1. 0. 0. 0.],233,M+H,1,7.968467,alanine,8.17,2
2,[0. 0. 1. 1.],203,M+H,1,8.396367,isoleucine,10.565,1
3,[0. 0. 1. 0.],203,M+H,1,8.996734,isoleucine,10.565,1
4,[1. 0. 0. 0.],275,M+H,1,10.43297,isoleucine,10.565,2
5,[1. 0. 0. 0.],275,M+H,1,10.48273,isoleucine,10.565,2
6,[0. 0. 1. 1.],291,M+H,1,10.67512,glycine,10.807,3
7,[0. 0. 1. 1.],273,M+H,1,13.4282,water-glycine,10.807,3
8,[0. 0. 1. 1.],277,M+H,1,12.20423,aspartic acid,13.55,2
9,[1. 0. 0. 0.],349,M+H,1,13.37845,aspartic acid,13.55,3
10,[0. 0. 1. 1.],363,M+H,1,14.56923,glutamic acid,14.714,3
11,[0. 0. 1. 1.],273,M+H,1,13.4282,water-glutamic acid,14.714,2
12,[0. 0. 1. 1.],258,M+H,1,13.1927,water-asparagine,0.0,2
13,[0. 0. 1. 1.],203,M+H,2,8.409433,leucine,10.318,1
14,[0. 0. 1. 0.],203,M+H,2,8.7345,leucine,10.318,1
15,[0. 0. 1. 0.],187,M+H,2,9.033033,proline,10.696,1
16,[1. 0. 0. 0.],187,M,2,10.96018,proline,10.696,1
17,[0. 0. 1. 1.],249,M+H,2,10.03143,serine,11.472,2
18,[0. 0. 1. 1.],303,M+H,2,14.15442,water-serine,11.472,3
19,[0. 0. 1. 1.],263,M+H,2,10.52233,threonine,11.804,2
20,[0. 0. 1. 1.],237,M+H,2,13.79618,phenylalanine,14.825,1
21,[0. 0. 1. 1.],397,M+H,2,18.022,tyrosine,0.0,3
22,[0. 0. 1. 0.],420,M+H,2,20.62912,tryptophan,0.0,3
23,[1. 0. 0. 0.],189,M+H,3,6.229617,pyruvate,7.517,1
24,[1. 0. 0. 0.],189,M+H,3,6.29595,pyruvate,7.517,1
25,[1. 0. 0. 0.],189,M+H,3,7.251233,pyruvate,7.517,1
26,[0. 0. 1. 1.],189,M+H,3,7.357383,pyruvate,7.517,1
27,[0. 0. 1. 0.],189,M+H,3,7.473484,pyruvate,7.517,1
28,[0. 0. 1. 0.],189,M+H,3,7.884783,pyruvate,7.517,1
29,[0. 0. 1. 1.],171,M+H,3,8.438717,water-pyruvate,7.517,1
30,[1. 0. 0. 0.],189,M+H,3,7.251233,valine,9.59,1
31,[0. 0. 1. 1.],189,M+H,3,7.357383,valine,9.59,1
32,[0. 0. 1. 0.],189,M+H,3,7.473484,valine,9.59,1
33,[0. 0. 1. 0.],189,M+H,3,7.884783,valine,9.59,1
34,[0. 0. 1. 1.],171,M+H,3,8.438717,water-valine,9.59,1
35,[0. 0. 1. 1.],262,M+H,3,10.77717,succinate,10.897,2
36,[0. 0. 1. 1.],260,M+H,3,11.25482,fumarate,11.368,2
37,[0. 1. 0. 0.],170,M-H,3,11.65617,water-fumarate,11.368,1
38,[0. 0. 1. 1.],350,M+H,3,12.98627,malate,13.112,3
39,[0. 0. 1. 1.],260,M+H,3,11.25482,water-malate,13.112,2
40,[0. 0. 1. 0.],319,M+H,3,14.0477,alpha-ketoglutarate,14.184,2
41,[0. 0. 1. 1.],480,M+H,3,16.7676,citrate,16.927,4
42,[0. 0. 0. 1.],192,M-H,3,6.14005,isocitrate,0.0,0
43,[0. 0. 1. 1.],480,M+H,3,16.7676,isocitrate,0.0,4
