,cilist,M,mtype,mix,RT,Name,estimate RT,TMP
0,[0. 0. 1. 1.],275,M+H,1,12.38285,trans-3-hydroxy-L-proline,12.89,2
1,[1. 0. 0. 0.],347,M+H,1,12.89035,trans-3-hydroxy-L-proline,12.89,3
2,[0. 1. 0. 0.],170,M-H,1,11.73605,dihydroxyacetone phosphate,0.0,0
3,[0. 0. 1. 1.],314,M+H,1,10.32633,dihydroxyacetone phosphate,0.0,2
4,[0. 0. 1. 0.],296,M+H,1,6.551633,water-dihydroxyacetone phosphate,0.0,2
5,[0. 0. 1. 1.],296,M,1,14.41617,water-dihydroxyacetone phosphate,0.0,2
6,[1. 0. 0. 0.],612,M+H,1,17.55402,allo-inositol,17.554,6
7,[0. 0. 1. 1.],266,M+H,1,19.98867,9-phenanthrenol,0.0,1
8,[1. 0. 0. 0.],370,M+H,1,8.419084,L-dithiothreitol,0.0,3
9,[0. 0. 0. 1.],237,M+H,2,7.808267,L-alanine-D4,0.0,2
10,[1. 0. 0. 0.],237,M+H,2,8.027184,L-alanine-D4,0.0,2
11,[1. 0. 0. 0.],237,M+H,2,8.0504,L-alanine-D4,0.0,2
12,[1. 0. 0. 0.],319,M+H,2,12.89315,DL-3-aminoisobutyric acid,12.893,3
13,[0. 0. 1. 1.],318,M+H,2,14.43222,phenylphosphoric acid,14.432,2
14,[0. 0. 1. 1.],333,M+H,2,16.58493,N-acetyl-L-glutamic acid,16.585,2
15,[0. 0. 0. 1.],176,M+H,2,7.038717,water-methyl-β-D-galactopyranoside,0.0,0
16,[0. 0. 1. 0.],384,M+H,2,23.82253,alizarin,23.819,2
17,[0. 0. 1. 0.],173,M-H,3,6.582383,acetoacetate,0.0,1
18,[0. 0. 1. 0.],310,M+H,3,16.38403,3-(4-hydroxyphenyl)propionic acid,16.384,2
19,[0. 0. 1. 0.],414,M+H,3,17.54165,DL-4-hydroxy-3-methoxymandelic acid,17.542,3
20,[1. 0. 0. 0.],252,M+H,3,14.95443,water-DL-4-hydroxy-3-methoxymandelic acid,17.542,1
21,[0. 0. 1. 1.],312,M+H,4,16.41182,4-hydroxy-3-methoxybenzoic acid,16.412,2
22,[0. 0. 1. 1.],562,M+H,4,24.93642,phloretin,24.936,4
23,[0. 0. 1. 1.],161,M+H,4,8.155884,lactamide,8.985,1
24,[1. 0. 0. 0.],268,M,4,12.9688,3-hydroxybenzyl alcohol,12.969,2
25,[0. 0. 1. 1.],388,M+H,4,20.07375,water-Asp-Glu,22.193,2
26,[0. 0. 1. 1.],460,M+H,4,20.8864,water-Asp-Glu,22.193,3
27,[1. 0. 0. 0.],237,M+H,5,13.93623,phenylalanine,13.936,1
28,[0. 0. 1. 1.],342,M+H,5,15.03083,phloroglucinol,15.031,3
29,[0. 0. 1. 0.],242,M+H,5,15.94963,"DL-3,4-dihydroxyphenylglycol",17.545,1
30,[0. 0. 1. 1.],314,M+H,5,16.54668,"DL-3,4-dihydroxyphenylglycol",17.545,2
31,[0. 0. 1. 1.],314,M+H,5,16.55995,"DL-3,4-dihydroxyphenylglycol",17.545,2
32,[0. 0. 1. 0.],458,M-H,5,17.5451,"DL-3,4-dihydroxyphenylglycol",17.545,4
33,[1. 0. 0. 0.],352,M+H,5,20.33798,L-kynurenine,20.62,2
34,[1. 0. 0. 0.],424,M,5,20.60003,L-kynurenine,20.62,3
35,[0. 0. 1. 1.],342,M+H,5,15.03083,D-(+)-trehalose,0.0,0
36,[0. 0. 1. 1.],342,M+H,5,15.03083,isomaltose,0.0,0
37,[0. 0. 1. 0.],126,M+H,6,13.26252,4-hydroxy-6-methyl-2-pyrone,13.272,0
38,[0. 0. 1. 1.],217,M,6,15.01718,4-hydroxyquinoline,15.034,1
39,[1. 0. 0. 0.],217,M+H,6,15.03378,4-hydroxyquinoline,15.034,1
40,[0. 0. 1. 1.],313,M+H,6,17.45848,3-methyl-L-histidine,17.458,2
41,[0. 0. 1. 1.],265,M+H,6,17.76365,phenaceturic acid,17.764,1
42,[1. 0. 0. 0.],305,M+H,7,12.3846,beta-alanine,12.444,3
43,[1. 0. 0. 0.],305,M+H,7,12.44432,beta-alanine,12.444,3
44,[0. 0. 1. 0.],296,M+H,7,15.01497,4-hydroxyphenylacetic acid,15.015,2
45,[0. 0. 1. 1.],571,M+H,7,25.13833,guanosine,25.251,4
