,cilist,M,mtype,mix,RT,Name,estimate RT,TMP
0,[0. 0. 1. 1.],175,M+H,1,7.373517,N-ethylglycine,6.458,1
1,[0. 0. 1. 0.],247,M+H,1,9.214417,N-ethylglycine,6.458,2
2,[0. 0. 1. 0.],247,M+H,1,9.280766,N-ethylglycine,6.458,2
3,[1. 0. 0. 0.],229,M,1,6.769817,water-N-ethylglycine,6.458,2
4,[0. 0. 1. 1.],180,M+H,1,8.736783,p-cresol,8.211,1
5,[0. 0. 1. 1.],162,M+H,1,8.053483,water-p-cresol,8.211,1
6,[0. 0. 1. 0.],158,M+H,1,10.59097,"2-butyne-1,4-diol",9.446,1
7,[1. 0. 0. 0.],230,M-H,1,9.897717,"2-butyne-1,4-diol",9.446,2
8,[1. 0. 0. 0.],230,M-H,1,9.9342,"2-butyne-1,4-diol",9.446,2
9,[0. 0. 1. 1.],254,M+H,1,10.91603,catechol,10.524,2
10,[0. 0. 1. 1.],254,M+H,1,11.00227,catechol,10.524,2
11,[1. 0. 0. 0.],236,M+H,1,14.28938,water-catechol,10.524,2
12,[0. 0. 1. 1.],254,M+H,1,10.91603,hydroquinone,11.659,2
13,[0. 0. 1. 1.],254,M+H,1,11.00227,hydroquinone,11.659,2
14,[1. 0. 0. 0.],236,M+H,1,14.28938,water-hydroquinone,11.659,2
15,[0. 0. 1. 0.],217,M+H,1,9.04525,2-hydroxyquinoline,12.903,1
16,[1. 0. 0. 0.],232,M+H,1,11.29417,pimelic acid,14.19,1
17,[0. 0. 1. 1.],304,M+H,1,14.57797,pimelic acid,14.19,2
18,[0. 1. 0. 0.],142,M,1,10.33557,water-pimelic acid,14.19,0
19,[0. 0. 1. 0.],214,M+H,1,13.6061,water-pimelic acid,14.19,1
20,[1. 0. 0. 0.],238,M+H,1,13.83497,phthalic acid,15.218,1
21,[0. 0. 1. 0.],310,M+H,1,15.59628,phthalic acid,15.218,2
22,[1. 0. 0. 0.],232,M+H,1,11.29417,putrescine,15.709,2
23,[0. 0. 1. 1.],304,M+H,1,14.57797,putrescine,15.709,3
24,[1. 0. 0. 0.],376,M+H,1,16.14027,putrescine,15.709,4
25,[0. 0. 1. 0.],214,M+H,1,13.6061,water-putrescine,15.709,2
26,[0. 0. 1. 1.],279,M+H,1,16.94297,N-acetyl-L-phenylalanine,16.284,1
27,[0. 0. 1. 0.],279,M+H,1,18.30292,N-acetyl-L-phenylalanine,16.284,1
28,[0. 0. 1. 1.],279,M+H,1,18.37258,N-acetyl-L-phenylalanine,16.284,1
29,[1. 0. 0. 0.],569,M+H,1,17.89162,D-(+)-galactose,17.409,5
30,[0. 0. 1. 1.],279,M+H,1,16.94297,4-hydroxy-3-methoxycinnamaldehyde,17.879,1
31,[0. 0. 1. 0.],279,M+H,1,18.30292,4-hydroxy-3-methoxycinnamaldehyde,17.879,1
32,[0. 0. 1. 1.],279,M+H,1,18.37258,4-hydroxy-3-methoxycinnamaldehyde,17.879,1
33,[1. 0. 0. 0.],326,M+H,1,16.00427,palmitoleic acid,18.728,1
34,[0. 0. 1. 1.],326,M+H,1,19.0791,palmitoleic acid,18.728,1
35,[1. 0. 0. 0.],236,M+H,1,14.28938,water-palmitoleic acid,18.728,0
36,[1. 0. 0. 0.],362,M+H,1,20.02775,1-methyl-L-tryptophan,19.523,2
37,[0. 0. 1. 1.],569,M+H,1,25.05295,N-methyladenosine,24.704,4
38,[1. 0. 0. 0.],569,M+H,1,25.25197,N-methyladenosine,24.704,4
39,[0. 0. 1. 0.],167,M+H,2,7.200867,2-hydroxypyridine,6.519,1
40,[0. 0. 1. 0.],175,M+H,2,6.583917,N-methyl-L-alanine,8.43,1
41,[1. 0. 0. 0.],247,M+H,2,8.842767,N-methyl-L-alanine,8.43,2
42,[1. 0. 0. 0.],229,M+H,2,6.593867,water-N-methyl-L-alanine,8.43,2
43,[1. 0. 0. 0.],229,M+H,2,6.597183,water-N-methyl-L-alanine,8.43,2
44,[0. 0. 1. 0.],194,M+H,2,9.967216,benzoic acid,9.594,1
45,[0. 0. 1. 1.],231,M+H,2,10.93578,4-acetylbutyric acid,10.63,1
46,[0. 0. 1. 0.],194,M+H,2,9.967216,D-threitol,12.954,1
47,[0. 0. 1. 1.],342,M+H,2,13.659,pyrogallol,13.456,3
48,[0. 1. 0. 0.],170,M-H,2,11.64892,2-hydroxybiphenyl,14.193,0
49,[0. 0. 1. 1.],242,M+H,2,14.43517,2-hydroxybiphenyl,14.193,1
50,[0. 0. 1. 0.],242,M+H,2,15.83162,2-hydroxybiphenyl,14.193,1
51,[0. 0. 1. 1.],372,M+H,2,15.99415,orotic acid,15.794,3
52,[0. 0. 1. 1.],372,M+H,2,15.99415,water-shikimic acid,16.433,3
53,[0. 0. 1. 1.],328,M-H,2,19.1121,palmitic acid,18.846,1
54,[0. 0. 1. 1.],556,M+H,2,23.5701,inosine,23.396,4
55,[0. 0. 1. 1.],203,M+H,3,8.382833,L-norleucine,8.945,1
56,[0. 0. 1. 0.],203,M+H,3,9.30495,L-norleucine,8.945,1
57,[0. 0. 1. 0.],275,M+H,3,10.83408,L-norleucine,8.945,2
58,[0. 0. 1. 1.],132,M+H,3,8.578533,urea,9.599,1
59,[0. 0. 0. 1.],114,M,3,11.65005,water-urea,9.599,1
60,[0. 0. 1. 1.],186,M+H,3,6.336267,water-urea,9.599,2
61,[0. 0. 1. 0.],183,M+H,3,10.20385,pyrrole-2-carboxylic acid,10.97,1
62,[0. 0. 1. 0.],255,M+H,3,11.26197,pyrrole-2-carboxylic acid,10.97,2
63,[1. 0. 0. 0.],222,M+H,3,12.19072,hydrocinnamic acid,11.9,1
64,[0. 0. 1. 1.],132,M+H,3,8.578533,water-hydrocinnamic acid,11.9,0
65,[0. 0. 1. 1.],223,M+H,3,13.13937,4-hydroxybenzaldehyde,13.005,1
66,[0. 0. 1. 1.],223,M+H,3,13.77955,4-hydroxybenzaldehyde,13.005,1
67,[0. 0. 1. 1.],223,M+H,3,13.13937,N-methylanthranilic acid,13.522,1
68,[0. 0. 1. 1.],223,M+H,3,13.77955,N-methylanthranilic acid,13.522,1
69,[0. 0. 1. 0.],296,M+H,3,14.48938,3-hydroxyphenylacetic acid,14.264,2
70,[0. 0. 1. 1.],308,M+H,3,16.72833,2-hydroxycinnamic acid,16.486,2
71,[0. 0. 1. 1.],264,M+H,3,19.11323,scopoletin,18.913,1
72,[0. 0. 1. 0.],555,M+H,3,25.10698,2'-deoxyguanosine,24.95,4
73,[0. 0. 1. 1.],234,M+H,4,7.436533,lactic acid,6.851,2
74,[1. 0. 0. 0.],191,M,4,6.0965,DL-glyceraldehyde,8.974,1
75,[1. 0. 0. 0.],191,M,4,6.14625,DL-glyceraldehyde,8.974,1
76,[0. 0. 1. 1.],263,M-H,4,9.496384,DL-glyceraldehyde,8.974,2
77,[0. 0. 1. 0.],263,M+H,4,9.7352,DL-glyceraldehyde,8.974,2
78,[1. 0. 0. 0.],173,M-H,4,6.395017,water-DL-glyceraldehyde,8.974,1
79,[1. 0. 0. 0.],260,M-H,4,9.980667,"cis-1,2-cyclohexanediol",9.701,2
80,[0. 0. 1. 1.],274,M+H,4,11.22783,citraconic acid,11.003,2
81,[0. 0. 1. 1.],276,M+H,4,12.24947,6-hydroxycaproic acid,12.059,2
82,[0. 0. 1. 1.],290,M+H,4,13.24123,adipic acid,13.01,2
83,[1. 0. 0. 0.],200,M+H,4,9.572667,water-adipic acid,13.01,1
84,[1. 0. 0. 0.],200,M+H,4,9.751783,water-adipic acid,13.01,1
85,[0. 0. 1. 0.],220,M+H,4,13.82833,cinnamic acid,13.562,1
86,[0. 0. 1. 1.],210,M+H,4,17.61963,4-hydroxybenzoic acid,14.505,1
87,[0. 0. 1. 1.],282,M+H,4,14.73387,4-hydroxybenzoic acid,14.505,2
88,[1. 0. 0. 0.],264,M,4,9.662233,water-4-hydroxybenzoic acid,14.505,2
89,[0. 0. 1. 1.],279,M+H,4,17.36755,adenine,17.066,2
90,[0. 0. 1. 1.],210,M+H,4,17.61963,urocanic acid,17.468,1
91,[0. 0. 1. 1.],282,M+H,4,14.73387,urocanic acid,17.468,2
