,name,precursormz,rt,precursor,
0,UnknownID=0|RT=5.887,247.14488,5.886817,[M-H]+,0
1,UnknownID=1|RT=5.893,176.09222,5.89345,[M]+,1
2,UnknownID=2|RT=5.91,86.04232,5.910033,[M-H]+,2
3,UnknownID=3|RT=5.976,176.28847,5.976367,[M]+,3
4,UnknownID=4|RT=6.019,102.03707,6.019484,[M+H]+,4
5,UnknownID=6|RT=6.232,176.09224,6.231767,[M]+,5
6,UnknownID=9|RT=6.305,219.17206,6.30475,[M]+,6
7,UnknownID=10|RT=6.308,190.14403,6.308067,[M]+,7
8,UnknownID=11|RT=6.325,204.08562,6.32465,[M+H]+,8
9,UnknownID=12|RT=6.351,258.05817,6.351183,[M+H]+,9
10,UnknownID=13|RT=6.358,302.11917,6.357817,[M-H]+,10
11,UnknownID=14|RT=6.378,174.1129,6.377717,[M-H]+,11
12,UnknownID=16|RT=6.404,172.09666,6.40425,[M+H]+,12
13,UnknownID=17|RT=6.411,171.07677,6.410883,[M+H]+,13
14,UnknownID=18|RT=6.434,219.10416,6.434117,[M]+,14
15,UnknownID=19|RT=6.454,158.13602,6.454017,[M-H]+,15
16,UnknownID=21|RT=6.477,205.12734,6.477233,[M+H]+,16
17,UnknownID=22|RT=6.514,160.13188,6.513717,[M-H]+,17
18,UnknownID=23|RT=6.544,160.12997,6.543567,[M-H]+,18
19,UnknownID=24|RT=6.557,278.15335,6.556833,[M-H]+,19
20,UnknownID=26|RT=6.587,172.15163,6.586683,[M]+,20
21,UnknownID=27|RT=6.603,175.04211,6.603267,[M-H]+,21
22,UnknownID=28|RT=6.627,159.08353,6.6265,[M+H]+,22
23,UnknownID=31|RT=6.676,214.092,6.67625,[M+H]+,23
24,UnknownID=32|RT=6.726,214.05046,6.726,[M]+,24
25,UnknownID=34|RT=6.753,221.08894,6.752533,[M-H]+,25
26,UnknownID=36|RT=6.792,225.10324,6.792333,[M+H]+,26
27,UnknownID=40|RT=6.839,160.0428,6.838783,[M-H]+,27
28,UnknownID=41|RT=6.845,173.11647,6.845417,[M+H]+,28
29,UnknownID=42|RT=6.852,172.11496,6.85205,[M+H]+,29
30,UnknownID=43|RT=6.865,0,6.865317,[M+H]+,30
31,UnknownID=44|RT=6.882,225.09769,6.8819,[M-H]+,31
32,UnknownID=49|RT=7.078,97.10093,7.0776,[M-H]+,32
33,UnknownID=50|RT=7.111,225.16334,7.110767,[M]+,33
34,UnknownID=51|RT=7.121,182.07985,7.120717,[M+H]+,34
35,UnknownID=52|RT=7.137,280.07739,7.137317,[M]+,35
36,UnknownID=53|RT=7.151,345.25372,7.150583,[M+H]+,36
37,UnknownID=54|RT=7.174,295.10263,7.1738,[M+H]+,37
38,UnknownID=56|RT=7.263,281.16489,7.26335,[M+H]+,38
39,UnknownID=57|RT=7.27,128.03204,7.269983,[M+H]+,39
40,UnknownID=58|RT=7.277,152.05211,7.276617,[M+H]+,40
41,UnknownID=61|RT=7.33,0,7.329683,[M]+,41
42,UnknownID=62|RT=7.333,219.08652,7.333,[M+H]+,42
43,UnknownID=64|RT=7.376,239.17821,7.376133,[M-H]+,43
44,UnknownID=65|RT=7.386,191.09163,7.386083,[M+H]+,44
45,UnknownID=66|RT=7.393,0,7.392717,[M-H]+,45
46,UnknownID=68|RT=7.449,103.05733,7.4491,[M-H]+,46
47,UnknownID=69|RT=7.452,205.10716,7.452417,[M+H]+,47
48,UnknownID=70|RT=7.472,228.06692,7.472317,[M-H]+,48
49,UnknownID=71|RT=7.499,154.03175,7.49885,[M+H]+,49
50,UnknownID=72|RT=7.512,219.0864,7.512133,[M+H]+,50
51,UnknownID=73|RT=7.535,219.08662,7.53535,[M+H]+,51
52,UnknownID=74|RT=7.559,219.08662,7.558567,[M+H]+,52
53,UnknownID=75|RT=7.588,219.08655,7.588417,[M+H]+,53
54,UnknownID=76|RT=7.632,184.11244,7.631533,[M-H]+,54
55,UnknownID=77|RT=7.651,206.10149,7.651433,[M]+,55
56,UnknownID=78|RT=7.658,95.08544,7.658067,[M-H]+,56
57,UnknownID=79|RT=7.681,0,7.6813,[M+H]+,57
58,UnknownID=80|RT=7.701,117.03622,7.7012,[M-H]+,58
59,UnknownID=81|RT=7.784,133.0511,7.784117,[M-H]+,59
60,UnknownID=82|RT=7.884,91.05451,7.883633,[M-H]+,60
61,UnknownID=85|RT=7.97,184.0383,7.969867,[M-H]+,61
62,UnknownID=86|RT=7.99,174.09442,7.989767,[M+H]+,62
63,UnknownID=88|RT=8.043,218.10219,8.042833,[M+H]+,63
64,UnknownID=90|RT=8.069,274.05945,8.069384,[M-H]+,64
65,UnknownID=91|RT=8.116,218.10213,8.115817,[M+H]+,65
66,UnknownID=92|RT=8.132,0,8.1324,[M-H]+,66
67,UnknownID=93|RT=8.182,122.10858,8.18215,[M]+,67
68,UnknownID=94|RT=8.229,273.16806,8.2286,[M+H]+,68
69,UnknownID=96|RT=8.295,204.0865,8.294933,[M+H]+,69
70,UnknownID=97|RT=8.315,204.08649,8.314834,[M+H]+,70
71,UnknownID=98|RT=8.355,204.08659,8.354633,[M+H]+,71
72,UnknownID=100|RT=8.384,157.12198,8.3845,[M-H]+,72
73,UnknownID=101|RT=8.401,177.15878,8.401083,[M-H]+,73
74,UnknownID=103|RT=8.457,130.12254,8.457467,[M]+,74
75,UnknownID=104|RT=8.474,218.10242,8.47405,[M+H]+,75
76,UnknownID=105|RT=8.507,188.11003,8.507216,[M+H]+,76
77,UnknownID=106|RT=8.593,220.08124,8.593467,[M+H]+,77
78,UnknownID=108|RT=8.627,285.14002,8.626634,[M]+,78
79,UnknownID=109|RT=8.633,219.0865,8.633266,[M+H]+,79
