,index,name,inchikey,formula,ionization,precursormz,rank
0,0,norvaline,SNDPXSYFESPGGJ-BYPYZUCNSA-N,C8H19N1O2Si1,[M+H]+,190.12618,0
1,1,norvaline,SNDPXSYFESPGGJ-BYPYZUCNSA-N,C11H27N1O2Si2,[M+H]+,262.1658,0
2,2,glucosamine 1,MSWZFWKMSRAUBD-QZABAPFNSA-N,C18H45N1O5Si4,[M+H]+,468.24448,1
3,3,mannose-6-phosphate,NBSCHQHZLSJFNQ-QTVWNMPRSA-N,C10H24O9P1Si1N1,[M+H]+,362.16412,no correct formula
4,4,glucosamine 1,MSWZFWKMSRAUBD-QZABAPFNSA-N,C18H45N1O5Si4,[M-H]+,466.22788,2
5,5,indole-3-propionic acid,GOLXRNDWAUTYKT-UHFFFAOYSA-N,C17H27N1O2Si2,[M+H]+,334.16495,0
6,6,mannose-6-phosphate,NBSCHQHZLSJFNQ-QTVWNMPRSA-N,C25H64O9P1Si6N1,[M+H]+,722.29852,no correct formula
7,7,"propane-1,3-diol",YPFDHNVEDLHUCE-UHFFFAOYSA-N,C9H24O2Si2,[M+H]+,221.13928,0
8,8,nicotinamide,DFPAKSUCGFBDDF-UHFFFAOYSA-N,C9H14N2O1Si1,[M+H]+,195.09509,0
9,9,nicotinamide,DFPAKSUCGFBDDF-UHFFFAOYSA-N,C9H14N2O1Si1,[M+H]+,195.09523,0
10,10,triethanolamine,GSEJCLTVZPLZKY-UHFFFAOYSA-N,C15H39N1O3Si3,[M+H]+,366.23151,1
11,11,"2,8-dihydroxyquinoline",ZXZKYYHTWHJHFT-UHFFFAOYSA-N,C15H23N1O2Si2,[M+H]+,306.13458,0
12,12,L-DOPA,WTDRDQBEARUVNC-LURJTMIESA-N,C18H35N1O4Si3,[M+H]+,414.19473,0
13,13,L-DOPA,WTDRDQBEARUVNC-LURJTMIESA-N,C21H43N1O4Si4,[M+H]+,486.23492,0
14,14,o-toluic acid,ZWLPBLYKEWSWPD-UHFFFAOYSA-N,C11H16O2Si1,[M+H]+,209.09946,0
15,15,TRIS 1,LENZDBCJOHFCAS-UHFFFAOYSA-N,C13H35N1O3Si3,[M+H]+,338.20041,1
16,16,(water loss)ribonic acid,QXKAIJAYHKCRRA-YVZJFKFKSA-N,C14H32O5Si3,[M+H]+,365.16324,1
